Genes	B	CD4	CD8	CLP	CMP	Ery	GMP-A	GMP-B	GMP-C	HSC	LMPP	MEP	Mono	MPP	NK	pDC
ALOX12	118	170	79	44	873	27	1	24	32	146	56	241	312	201	96	35
AC027763.2	121	143	151	105	99	76	9	19	49	67	43	110	75	189	109	30
RNASEK	95	123	112	95	81	6	0	10	9	89	29	43	265	66	70	29
RNASEK-C17orf49	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC040977.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf49	6	20	74	0	9	0	0	0	0	43	3	3	57	18	6	100
BCL6B	29	8	9	303	139	0	0	0	0	82	19	16	1	95	17	0
SLC16A13	378	285	192	153	504	0	48	128	552	422	180	240	472	488	221	78
SLC16A11	2	1	3	0	0	0	0	0	0	7	0	0	0	16	7	0
CLEC10A	0	1	0	0	0	0	0	0	197	0	0	1	1282	0	83	16
ASGR2	0	0	0	0	5	0	0	3	11	0	2	1	2721	1	11	5
ASGR1	0	1	1	0	45	0	2	1	0	72	73	5	994	47	5	4
ACADVL	991	2150	1417	384	6650	645	3189	2838	6231	3476	2990	8060	7821	4617	1274	8916
DLG4	7	305	120	60	1091	5	302	801	910	964	425	482	1657	1175	40	598
DVL2	291	425	346	127	960	67	61	111	229	521	347	1126	405	1015	228	343
PHF23	365	512	322	461	779	110	88	243	98	456	462	1094	735	661	755	211
GABARAP	636	738	597	279	785	263	19	63	128	662	255	413	2239	1140	384	197
CTD-2545G14.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELP5	860	1053	858	882	3540	112	1631	837	3294	1745	1514	3046	1143	2547	981	1386
CTDNEP1	2993	4518	3328	1968	6223	986	3470	3765	11041	3272	2677	6575	9374	4553	3484	6475
RP1-4G17.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN7	10	2	24	0	6	0	0	1	0	64	10	9	24	61	0	1
SLC2A4	1	1	0	1	46	617	0	0	173	223	18	631	3	84	0	0
YBX2	0	2	1	4	9	120	0	0	0	12	9	84	1	15	0	0
EIF5A	4749	5693	4387	1627	9546	1315	4270	5870	10448	4751	3472	14879	5615	6616	2636	4739
GPS2	362	217	145	21	44	13	17	0	3	100	53	69	182	71	171	23
RP11-542C16.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NEURL4	136	173	95	39	130	9	42	83	203	107	116	137	123	106	66	298
ACAP1	1597	2149	1359	91	1651	1	463	263	1657	1652	975	1478	599	2213	902	615
KCTD11	43	18	18	3	24	0	4	0	0	33	6	30	98	30	92	0
TMEM95	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
TNK1	86	395	191	5	65	0	0	5	12	179	36	20	66	149	46	0
TMEM256-PLSCR3	1	37	17	0	1	0	0	0	1	8	0	7	14	6	5	0
C17orf61-PLSCR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM256	97	70	73	54	214	27	14	67	34	84	66	192	101	111	35	49
NLGN2	0	269	232	1	910	0	80	356	134	678	538	439	12	830	39	137
SPEM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C17orf74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM102	0	0	12	0	5	0	2	26	0	3	8	27	19	13	12	2
FGF11	24	52	21	27	68	0	0	9	0	75	6	68	9	86	29	14
CHRNB1	163	359	234	156	832	38	513	420	146	291	366	307	372	549	570	182
SLC35G6	0	9	1	1	3	0	0	0	0	1	0	1	1	1	0	1
ZBTB4	6116	11611	9629	1362	4037	2037	1137	1014	1562	5702	1749	4305	4253	7053	10377	1977
POLR2A	9087	14870	9154	5411	22601	3080	15685	18791	31173	14158	10657	28850	18868	20909	8932	21045
TNFSF12	263	587	292	4	162	0	2	245	490	232	94	32	2077	402	656	88
TNFSF12-TNFSF13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFSF13	16	3	1	26	37	1	3	76	46	26	10	44	311	63	4	175
SENP3	910	1417	1077	600	2431	297	463	492	934	2418	1471	3573	824	1746	899	2071
EIF4A1	5356	8059	6540	6316	22393	2664	3863	4223	8506	11655	12926	21599	20116	17652	7373	9087
CD68	880	135	54	50	744	24	393	898	2298	660	131	410	59285	1081	139	14640
MPDU1	482	548	341	537	2966	1761	396	487	1074	820	858	3780	1818	1428	375	871
SOX15	1	0	1	1	14	2	50	0	13	9	0	20	24	16	1	261
AC007421.1	4	35	17	8	12	6	2	17	0	14	15	8	25	9	14	3
SHBG	0	1	1	0	12	0	0	0	0	6	1	1	0	1	1	0
FXR2	137	376	175	203	310	107	29	78	352	151	152	428	247	327	312	403
SAT2	450	756	617	219	526	5	23	62	107	755	500	326	3193	944	619	330
ATP1B2	4	32	78	4	72	12376	22	7	0	4	1	1956	45	13	15	19
WRAP53	158	388	307	97	504	30	89	70	275	138	342	509	457	174	212	924
TP53	3251	3545	2708	5930	17207	1109	10136	11792	25256	8696	9064	22380	5895	11300	3736	14760
EFNB3	1	1	5	0	11	0	0	0	0	18	9	1	0	27	0	0
DNAH2	3	11	6	1	31	0	77	140	230	28	6	77	51	77	1	160
KDM6B	2460	2752	1544	147	2103	3	2356	1406	3406	1721	919	2679	7278	3663	427	6334
TMEM88	15	39	14	0	38	0	58	122	1	23	21	32	177	84	15	264
CYB5D1	1183	1484	959	855	2205	590	1065	584	1072	1836	1455	2758	781	2159	762	2533
CHD3	2370	16482	7666	3217	8485	403	8382	9396	23601	6230	4477	9029	5550	6509	5813	23891
LSMD1	251	194	111	81	1258	8	411	571	939	249	321	1672	877	619	155	230
KCNAB3	40	153	128	33	63	24	82	28	459	59	69	67	55	29	88	122
RP11-1099M24.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNTROB	311	523	271	276	1567	107	938	1155	1285	903	670	1575	1018	1477	234	1655
TRAPPC1	1880	3714	2855	2368	6082	1013	2125	2994	3679	3009	3445	4740	8819	4563	4497	4210
GUCY2D	0	0	0	0	68	0	12	121	21	24	10	1	51	33	0	42
ALOX15B	0	0	1	0	82	54	307	368	2173	553	244	6	1666	276	1	47
AC129492.6	2	16	18	0	4	0	0	0	0	28	18	24	0	40	8	0
ALOX12B	2	15	12	0	122	3	0	5	0	153	39	155	0	100	5	0
ALOXE3	1	88	22	0	3	1	0	0	0	5	0	25	1	17	2	0
HES7	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0
PER1	2385	4449	2312	77	4137	122	11016	9221	24233	6664	1051	5307	11298	7626	575	10671
RP11-599B13.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAMP2	4110	7920	4839	2631	2077	471	6685	5754	12213	3414	1371	1682	3315	3364	4450	5626
TMEM107	1846	2307	2935	1594	1867	118	284	201	292	857	544	925	1465	839	1003	2028
C17orf59	189	93	110	36	165	9	5	3	41	188	88	271	195	152	193	21
AURKB	8	25	31	873	782	328	75	203	235	150	325	888	53	226	6	1397
PFAS	367	337	302	615	3095	130	1257	1748	2488	1132	1716	4084	347	1979	386	631
CTC1	2489	5728	3417	1300	1250	144	418	398	657	1510	665	1882	1458	1810	2102	944
RANGRF	110	100	79	58	141	3	1	0	2	83	49	181	40	89	71	10
SLC25A35	139	227	126	75	462	76	405	280	746	188	164	912	493	591	295	383
ARHGEF15	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
ODF4	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0
AC135178.1	71	116	78	153	77	24	50	2	187	112	72	28	41	153	28	24
KRBA2	85	131	102	75	146	17	10	13	16	193	85	124	81	326	125	13
RP11-849F2.7	29	43	28	28	43	7	0	0	35	45	31	12	36	32	14	5
RPL26	9380	14839	10481	7163	20069	1271	3643	3115	5228	13729	8848	17070	7024	16688	4833	5457
RNF222	17	29	21	4	11	0	0	0	0	14	8	9	1	24	9	0
NDEL1	4183	5486	4012	1102	3491	4448	860	840	3057	3224	1371	3751	5552	3756	3542	2062
MYH10	1567	1361	784	607	7132	8220	254	236	308	8215	1040	19331	824	7483	435	255
CCDC42	61	3	2	0	44	0	18	1	0	178	54	92	4	112	7	10
SPDYE4	0	3	3	0	0	0	0	0	0	0	0	0	1	4	2	0
MFSD6L	0	1	9	0	50	0	0	0	0	1	2	2	6	2	0	0
PIK3R6	21	50	45	21	1585	0	313	568	1492	284	484	238	923	671	44	81
PIK3R5	2811	5765	4137	319	1343	0	427	201	1716	1343	706	168	12336	1121	8012	4273
NTN1	321	138	80	15	314	1	7	11	5	87	120	211	91	326	135	169
STX8	674	1303	796	472	1282	126	174	186	378	750	781	1157	1122	1176	1596	412
WDR16	0	0	0	16	24	0	1	0	0	49	10	29	0	42	5	0
USP43	0	0	0	8	49	0	0	4	0	16	35	69	1	194	9	10
DHRS7C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-477N12.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLP2R	0	0	1	1	4	0	0	4	0	0	0	0	59	0	13	0
RCVRN	2	6	1	0	0	0	2	0	0	0	23	0	112	0	32	9
AC000003.2	0	0	0	9	3	0	1	2	0	5	31	1	73	4	16	5
GAS7	3640	182	1018	4483	1040	2	2344	2896	6351	769	2889	94	60736	851	8973	3243
MYH13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
MYH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MYH1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
MYH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MYH3	88	163	151	52	190	18	3	2	1	118	116	95	75	121	112	70
ADPRM	1493	4218	2715	1575	1126	104	317	161	265	1765	1059	1403	531	2357	468	126
SCO1	472	947	672	446	747	91	58	142	41	446	408	1068	506	541	381	48
TMEM220	915	2488	1655	1034	1536	34	267	121	197	1997	869	1512	261	2231	279	172
PIRT	0	0	3	0	6	0	0	0	0	3	9	12	0	15	2	0
SHISA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAH9	6	30	12	11	14	4	2	4	7	3	5	9	6	0	14	13
ZNF18	722	1023	884	424	934	118	37	36	149	600	473	816	628	644	585	332
MAP2K4	3488	5210	4403	3105	4375	1761	346	478	581	3693	2613	4601	6342	3613	5209	1037
MYOCD	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005358.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP44	39	84	71	51	93	13	66	76	0	137	82	94	14	156	83	35
ELAC2	893	1654	1292	944	3204	359	685	775	1294	1788	1781	5086	1131	2828	1222	837
HS3ST3A1	0	5	2	0	2	0	0	0	0	3	2	0	0	2	8	9
COX10	828	1286	827	286	1276	125	128	167	93	824	694	1574	763	1002	907	201
CDRT15	3	11	6	1	9	0	4	0	0	2	3	6	5	11	8	0
HS3ST3B1	374	1846	1216	2306	257	0	76	64	2	351	735	21	104	329	1919	832
PMP22	0	0	1	1	1616	22	34	17	85	67	31	4991	685	89	24	472
TEKT3	1	1	15	0	4	0	0	0	1	0	0	0	0	2	13	0
CDRT4	9	37	15	0	16	0	0	11	0	31	12	10	2	22	64	0
TVP23C-CDRT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TVP23C	121	284	271	25	611	1	22	83	297	470	183	546	149	499	439	156
CDRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-385D13.1	1	6	8	4	1	0	1	0	4	1	2	5	7	8	10	0
TRIM16	123	423	164	39	611	5	39	53	146	339	353	341	185	374	162	55
ZNF286A	272	550	540	342	633	20	83	30	65	601	433	665	161	760	524	102
TBC1D26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ADORA2B	40	178	131	11	655	2	18	1	67	227	166	692	472	451	104	0
TTC19	4247	5658	4093	3248	9537	645	861	1081	2917	7341	4655	10236	4203	8689	4693	3655
ZSWIM7	915	1514	1269	753	2163	35	84	166	282	1344	906	2178	1713	1397	882	395
AC002553.1	9	11	5	8	6	4	0	0	0	5	5	6	4	2	3	2
PIGL	749	1242	890	501	402	91	81	63	72	591	379	697	335	515	438	67
NCOR1	23458	31754	22586	19523	30118	9501	5429	5876	13777	23315	15637	33333	34748	25442	31102	15214
CENPV	278	513	442	133	784	42	93	60	142	485	235	1414	55	549	217	50
UBB	1342	1589	1437	1756	5369	6133	1082	1356	1629	3015	2017	4525	1761	4399	2468	3236
TRPV2	912	1535	1300	66	2289	6	291	360	888	2070	851	2953	2464	2681	1880	1101
FAM211A	6084	16472	10039	6927	56295	3252	5085	5393	6951	33255	22187	58139	6379	42516	2340	4534
ZNF287	455	901	828	235	407	9	14	7	32	778	291	285	33	643	599	20
ZNF624	1145	1317	1130	979	917	97	74	49	81	994	726	1015	509	1087	1540	142
CCDC144A	50	293	305	81	24	624	43	26	5	128	33	67	93	21	159	9
RP11-219A15.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF13B	457	2	0	0	0	0	0	0	0	0	0	0	1	2	19	77
MPRIP	7689	7684	4461	6103	9420	1146	2036	1806	4101	9972	5607	7068	3287	11806	4735	7834
PLD6	193	478	228	142	395	67	98	32	12	169	196	583	38	300	58	53
RP11-45M22.4	1	3	3	1	2	0	0	0	0	2	0	4	0	4	1	2
FLCN	880	1077	489	374	859	2202	145	164	1987	635	251	986	1162	790	817	376
COPS3	2674	4452	3189	5644	11984	8651	1356	1670	2394	5177	4783	14498	5162	6593	3504	1707
NT5M	3	25	17	5	1028	177	27	94	61	528	198	1171	9	760	53	26
MED9	1744	794	506	788	935	223	169	151	283	836	492	1028	688	931	471	972
RASD1	110	16	6	348	22	13	2270	2006	10607	23	187	8	30	49	23	138834
PEMT	360	237	166	16	683	1	69	157	215	387	278	965	379	757	75	86
RAI1	524	373	351	157	1166	49	409	806	2162	798	997	1096	1055	1527	653	1415
SREBF1	384	615	669	82	541	99	210	424	682	685	378	804	860	1160	343	435
TOM1L2	253	905	428	178	570	85	46	94	487	789	282	893	729	1026	412	442
LRRC48	361	285	110	481	278	53	19	36	63	339	264	366	456	560	255	304
ATPAF2	530	419	272	369	1229	206	161	343	395	493	588	1209	1397	889	381	1181
GID4	2154	2761	2012	1486	4065	2356	474	358	928	3551	2340	4537	2988	3904	2558	3769
DRG2	1171	1447	944	392	1392	89	146	142	977	1124	773	2322	1647	1420	810	413
MYO15A	37	84	51	3	28	1	56	0	6	107	10	24	71	54	30	16
ALKBH5	3634	4179	3126	1247	3777	1542	897	1226	2542	2426	1593	3608	4651	2828	2557	4703
LLGL1	138	755	508	42	1079	6	207	223	826	841	520	1015	618	986	504	315
FLII	2118	2667	1565	315	5573	155	2540	2977	6137	3576	2529	4909	11835	5221	1660	3039
MIEF2	37	118	123	46	68	2	40	0	63	100	59	101	59	229	89	12
TOP3A	959	1610	1136	979	4310	866	716	534	2017	1586	1662	4729	3469	2106	1626	1652
SMCR8	6759	11760	8491	1825	6092	551	1817	1664	5585	4885	2304	5540	8290	6482	4696	4548
SHMT1	578	1429	1230	1145	2461	652	493	412	830	1537	1377	3298	1101	1657	811	931
EVPLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS9C	2	0	1	0	11	0	3	0	1	14	5	8	15	2	301	1
FAM106A	1	24	34	1	12	65	0	0	0	14	33	11	6	23	20	0
TBC1D28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF286B	162	266	169	183	257	4	54	2	10	257	147	273	21	506	209	13
TRIM16L	62	64	37	2	261	1	10	30	44	136	89	162	52	226	90	38
FBXW10	0	5	2	0	0	0	0	0	0	0	0	4	0	0	0	0
TVP23B	587	835	777	420	487	502	40	34	94	490	327	500	497	572	877	111
PRPSAP2	1368	2333	1811	960	2039	601	108	292	162	1159	993	2293	1164	1570	1399	521
SLC5A10	336	33	16	36	8	0	19	1	0	35	16	3	4	18	8	1
FAM83G	39	142	102	0	21	0	0	10	7	77	171	39	4	31	60	18
GRAP	32	41	15	2	3	0	2	4	1	3	1	2	5	34	1	1
AC007952.5	18	8	4	8	0	0	0	0	0	2	0	0	4	1	0	0
GRAPL	56	37	16	0	1	0	0	0	0	4	0	0	6	9	1	0
AC007952.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007952.6	6	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0
EPN2	380	177	58	10	62	808	7	0	0	62	9	164	57	115	70	6
AC106017.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAPK7	471	552	334	108	421	49	416	253	863	438	176	734	4133	524	894	1978
B9D1	35	21	21	5	215	16	18	10	4	31	8	321	76	59	82	0
MFAP4	7	4	0	299	1303	0	742	845	1024	1175	810	298	101	1324	3	516
RNF112	0	6	0	0	1	0	0	0	0	1	0	0	0	1	7	10
SLC47A1	1	16	12	2	93	0	96	16	0	0	0	75	181	0	26	0
ALDH3A2	1317	3791	2492	545	5308	73	1076	871	1240	3762	3258	4341	8913	3846	4366	293
SLC47A2	6	21	13	0	7	0	8	0	0	2	0	7	14	0	16	1
ALDH3A1	0	1	0	0	15	0	11	0	0	5	5	3	0	6	0	0
ULK2	224	1884	1427	396	1851	128	57	184	354	1805	693	2523	2934	1918	1317	587
AKAP10	2433	3773	2828	1076	1979	619	211	280	250	1316	1041	1780	3102	1754	2430	652
SPECC1	1160	1584	2350	1412	8773	37816	4251	7071	20342	12424	8426	11344	25322	10513	9899	7619
LGALS9B	3	0	2	0	7	0	3	2	0	18	5	2	8	4	213	0
CDRT15L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC144NL	6	1	3	0	3	5	11	1	0	67	10	1	3	15	96	11
USP22	3373	3946	2444	3854	14261	445	3488	4303	7195	8974	5476	14779	5269	11384	1914	8114
DHRS7B	376	331	263	121	821	708	164	113	543	445	479	945	1505	678	361	59
TMEM11	344	693	471	469	1073	536	289	207	795	682	613	1313	1702	1141	564	382
C17orf103	118	375	233	93	542	3993	144	362	407	328	224	579	1110	754	511	57
MAP2K3	533	386	367	253	1036	3351	174	585	2299	505	716	1138	2944	1038	861	1897
KCNJ12	0	0	0	0	344	0	1	0	0	85	127	503	0	243	0	0
C17orf51	133	314	254	14	30	0	0	14	0	77	46	10	164	96	144	24
UBBP4	60	78	111	31	311	159	98	102	137	138	57	212	69	187	89	252
MTRNR2L1	118958	83293	127414	2546	103985	2127	2349	1511	2968	87670	1995	64147	94449	95053	1651	1123
WSB1	11571	10053	8330	9664	12077	5520	2227	3197	7753	9851	7603	11799	19027	11594	12292	6260
KSR1	606	579	293	167	1448	107	121	311	477	1092	645	919	2681	1781	652	243
AC015688.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LGALS9	1809	979	489	475	5853	326	2353	3634	8207	3421	1915	5147	10836	5831	776	3776
NOS2	0	6	1	5	0	0	0	0	0	1	0	0	1	1	0	0
RP1-66C13.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYRM9	182	225	162	32	66	17	29	38	36	87	68	61	35	113	78	18
NLK	4818	4267	3733	5532	24365	4524	1504	1187	2353	7043	3681	13530	4240	12053	5520	2257
AC061975.10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
TMEM97	398	532	709	1432	6238	808	1236	1992	2937	2039	2745	6542	244	3226	825	1112
IFT20	711	1001	750	582	972	329	156	85	388	806	699	1056	1458	1280	629	294
TNFAIP1	520	1235	936	324	1337	241	524	165	905	1219	666	1459	1148	1605	661	607
POLDIP2	1311	2582	2195	1452	7291	1188	1281	1366	3801	3645	2844	8834	3397	4778	1642	3412
TMEM199	873	1157	1002	491	1295	195	110	141	475	612	434	1022	1490	717	931	495
SARM1	49	217	147	12	286	0	23	11	3	367	142	230	66	311	147	5
CTB-96E2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VTN	39	61	55	3	8	1	6	9	0	16	5	26	171	11	19	96
SLC46A1	130	350	208	14	138	6	39	18	52	253	168	184	142	216	204	11
SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXN1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC119	405	662	328	53	409	0	90	65	507	354	132	220	2001	367	402	447
PIGS	946	2100	1655	675	6863	1148	1766	1861	4450	2544	2979	6983	7548	4035	3268	2829
ALDOC	220	1314	785	8	420	9	46	13	104	743	221	287	274	931	631	52
SPAG5	139	341	352	3410	2426	4806	273	553	2152	983	1235	2739	282	681	89	2935
RP11-192H23.4	22	47	42	34	48	7	140	52	399	40	79	67	45	88	13	660
SGK494	81	106	104	27	36	9	24	287	4	17	55	31	93	79	57	32
KIAA0100	6332	7151	5195	3971	19735	919	5443	6407	14036	9669	10185	16122	15217	13544	5381	14784
SUPT6H	3859	8507	5875	3148	10944	2702	2821	3290	7416	9724	5448	13992	11258	10133	7198	8115
SDF2	969	1816	1228	1431	2137	414	279	233	318	2027	1392	2093	2991	2386	3273	637
PROCA1	455	317	156	120	224	31	17	187	151	242	97	177	412	290	102	184
RAB34	190	163	148	610	2923	2	570	605	2125	2731	1469	1865	1966	3293	48	819
RPL23A	9843	19039	12013	6618	15155	1335	3691	3341	6142	9889	7151	13966	4770	12795	5025	4565
NEK8	378	87	66	4	130	0	15	0	0	93	29	117	78	105	24	212
TLCD1	64	70	50	15	149	39	7	1	41	38	95	140	25	113	22	15
TRAF4	245	303	165	47	132	4	20	24	1	128	95	149	86	311	133	582
ERAL1	404	809	466	728	3173	602	667	693	489	1753	1271	4426	1156	2160	447	352
FAM222B	2367	3156	2267	1103	2637	451	408	485	997	2761	1691	2949	1317	3804	2322	585
FLOT2	5453	8012	4821	250	5389	922	1150	1939	4758	4955	2537	12031	13870	5303	3045	3949
DHRS13	20	122	76	8	27	142	0	0	1	20	15	41	27	23	62	1
PIPOX	47	89	98	176	54	2	2	0	0	127	90	13	23	235	67	12
PHF12	6655	10362	6757	2755	6049	1687	2049	1884	3300	6642	2881	6712	9623	7426	5364	3202
SEZ6	406	118	76	35	121	0	0	1	0	209	59	48	58	268	100	15
TIAF1	272	256	185	1248	519	120	145	321	469	775	397	89	188	991	164	425
MYO18A	1726	2215	1017	2169	7063	286	5257	3969	5921	8150	4672	1714	3082	10291	1194	12227
CRYBA1	49	71	36	28	33	31	0	4	0	31	12	9	89	46	48	23
NUFIP2	12487	16754	14481	10695	15977	4225	3306	3287	7336	17530	12711	14130	17483	17962	13862	6841
TAOK1	20892	24091	19832	15829	33303	6436	4632	5408	9211	25120	16019	21945	51062	28272	22148	11097
TP53I13	41	51	36	59	58	0	81	39	611	50	96	60	26	137	115	352
ABHD15	2078	769	863	996	865	2	632	679	2087	651	1237	584	873	870	2034	9979
ANKRD13B	0	9	2	35	229	0	293	224	604	149	85	257	2	170	10	13
GIT1	679	1726	1126	384	4608	2	1873	2485	7636	2794	1683	4802	2469	4383	1000	5315
CORO6	3	5	3	3	1	0	13	23	15	3	13	8	26	20	5	7
EFCAB5	181	123	44	326	63	24	46	53	96	77	70	144	75	37	28	64
SSH2	24561	22062	17777	17566	8975	1071	4174	4134	11168	7844	9236	6133	60345	7975	39502	12337
NSRP1	3942	4547	3562	3674	5038	2117	3127	2589	3794	4770	2978	4714	4775	4510	3420	2298
SLC6A4	63	252	124	44	52	15	2	1	0	104	32	13	30	52	223	3
BLMH	811	3490	2459	2816	8197	212	1364	1497	2256	5238	4399	8383	1646	5697	2339	4082
TMIGD1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
CPD	2729	7142	7591	2497	16262	1830	2833	2822	4059	7674	6907	11502	36140	10009	20184	1754
GOSR1	3564	4316	3378	3190	4319	1037	539	571	1220	4000	2433	4080	2769	4598	3629	1263
TBC1D29	3	2	0	1	0	0	0	0	0	0	2	0	1	0	0	46
CRLF3	5832	16474	12837	4192	5029	7470	1235	973	1156	4732	3616	2813	8120	5441	9311	1737
ATAD5	1405	1336	1303	4035	6447	6487	896	736	1262	2046	3117	5833	836	2311	1272	1864
ADAP2	102	7	1	20	5	1	0	45	0	0	11	3	2871	23	25	40
TEFM	632	786	549	539	665	373	60	108	237	354	502	911	461	592	598	447
RNF135	1029	216	179	363	1016	18	285	177	504	684	665	1072	3051	750	727	315
NF1	10578	13837	11628	14250	20310	757	3506	3860	7888	20659	14729	16797	15287	21461	16171	4212
OMG	319	213	177	300	304	25	86	123	134	630	673	200	644	460	359	50
EVI2B	32938	26605	17243	5086	8824	25	2823	2677	6818	16056	8165	1504	95115	12711	13789	6532
CTD-2370N5.3	2	10	7	3	1	0	0	0	0	3	5	4	6	0	5	0
EVI2A	942	5868	3493	520	405	4	61	84	202	1501	837	130	10336	1252	2681	192
RAB11FIP4	2004	1852	1446	258	221	120	155	28	1845	516	449	8	1622	517	2593	1854
AC003101.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
COPRS	196	98	51	165	832	47	335	391	790	614	594	773	306	568	85	241
UTP6	2436	1759	1449	1905	3662	902	305	418	1696	2873	2712	4763	2447	3245	1733	1319
SUZ12	6653	7624	5861	8393	11231	8858	2592	2634	5615	7033	5737	12610	4356	7816	5283	8442
LRRC37B	1128	4248	2536	1493	4048	269	603	551	881	4636	2255	3295	2037	4721	2474	906
RHOT1	2842	4602	3580	2595	5917	2453	445	598	964	4848	3009	6974	9528	5495	3923	1211
AC090616.2	5	5	7	5	16	24	0	0	0	6	21	38	25	15	8	0
AC116407.2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
RHBDL3	1	0	0	0	6	4	0	0	0	24	26	6	3	13	0	0
C17orf75	475	681	553	1269	747	425	91	56	114	593	519	958	426	711	728	159
ZNF207	26202	36004	25958	30953	45412	12652	9949	9029	14166	34630	22702	49902	37126	35622	28580	15402
PSMD11	3152	5183	3648	3826	7361	3759	2001	2349	5689	4577	4052	8719	5680	5839	3978	2591
CDK5R1	1095	2704	1741	16	120	11	46	184	138	94	165	195	375	115	859	1954
MYO1D	998	1033	520	111	665	1709	76	141	18	1167	848	2310	216	1023	787	145
TMEM98	0	0	0	0	1038	276	0	5	0	1221	163	467	0	1522	0	0
SPACA3	1	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
ASIC2	0	0	0	0	27	0	0	0	0	0	0	0	0	2	0	0
CCL2	0	0	0	0	10	0	0	0	0	5	1	0	171	1	0	0
AC005549.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CCL11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL8	0	0	0	4	0	0	0	0	0	0	0	0	10	0	0	0
CCL13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCL1	0	0	0	0	1	0	0	0	0	4	0	0	0	10	1	0
C17orf102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM132E	0	7	9	0	7	0	0	1	0	2	0	0	0	0	8	0
ZNF830	2723	2682	2365	2662	2403	682	382	239	696	1838	1301	2221	1049	2248	2938	691
LIG3	1885	3330	2307	959	5733	348	1212	1185	2596	3533	2348	5086	2889	5045	2712	1838
CCT6B	186	256	116	148	315	42	12	9	9	230	133	208	199	427	163	31
RFFL	4367	12373	7985	3576	10677	10615	2408	3497	5959	7057	4843	8267	10287	8149	11216	2154
RAD51L3-RFFL	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RAD51D	181	245	164	139	551	67	13	79	42	402	336	379	103	391	244	127
FNDC8	10	14	11	1	31	0	0	0	0	10	22	24	1	44	1	4
NLE1	214	712	435	66	1264	7	196	256	430	693	482	2202	143	1599	105	65
UNC45B	1	65	135	0	0	0	0	0	0	0	1	0	1	1	128	0
